Two,8,1,1,0,104,99
Russian-built,3,1,1,0,90,182
hovercrafts,2,1,0,0,65,29
;,9,1,0,0,4,4
capable,3,1,0,0,38,39
of,5,1,0,0,8,13
carrying,1,1,0,0,38,11
up,10,1,0,0,131,68
to,10,1,0,0,7,12
50,8,1,0,0,192,164
tons,2,1,0,0,7,40
each,7,1,0,0,119,44
;,9,1,0,0,4,4
will,10,1,0,0,25,38
begin,1,1,0,0,17,9
ferrying,1,1,0,0,109,11
passengers,2,1,0,0,41,34
and,10,1,0,0,9,10
cargo,2,1,0,0,38,109
up,5,1,0,0,131,68
and,10,1,0,0,9,10
down,5,1,0,0,83,96
the,7,1,0,0,3,3
huge,3,1,0,0,150,77
river,2,1,0,0,108,8
from,5,1,0,0,29,54
its,6,1,0,0,47,29
mouth,2,1,0,0,37,32
at,5,1,0,0,34,20
Belem,2,1,1,0,17,115
by,5,1,0,0,75,61
the,7,1,0,0,3,3
end,2,1,0,0,92,10
of,5,1,0,0,8,13
the,7,1,0,0,3,3
year,2,1,0,0,94,55
;,9,1,0,0,4,4
Brazil,2,1,1,0,68,95
's,10,1,0,0,32,35
Amazon,2,1,1,0,138,7
Affairs,2,1,1,0,79,34
Department,2,1,1,0,28,25
said,1,1,0,0,12,27
in,5,1,0,0,6,9
a,7,1,0,0,10,16
statement,2,1,0,0,23,25
.,9,1,0,0,5,5
